tips,ll
"Great gym, has great equipment helpful staff!","51.5422755359,-0.0080887708318"
This building has a stunning  design and tonnes of natural light,"51.4858220476,0.00848077328279"
"James Bond's rooftop swimming pool in downtown Shanghai in Skyfall (2012) is in fact Virgin Active's indoor pool at Westferry Circus, Canary Wharf. The Shanghai skyline was digitally added afterwards.","51.5065998161,-0.0289329867484"
"Great modern gym with some very fancy equipment (you log in to each piece with a digital key...). Quite limited on free weights as a trade off, but good if you use the machines a lot.","51.5004953196,0.00648054152996"
"This is a great gym, so many machines classes, free weights etc awesome for everyone. Even climbing wall, swimming pool and boxing ring!","51.5046155298,-0.0172090530396"
34.99£ is great value for money :),"51.5078544684,-0.0232712753773"
"Great facility! Swim in 25m pool, box in the ring, lift the 50kg dumbells or just sit on the  Powerplate! And if you're not in the mood just play table tennis, Xbox Kinect, table football or pool!","51.4973212524,-0.0157452371929"
"It is Summer time now so all the students have left! Summer offer of £72 for 8 weeks, with further offers once your 8 weeks are up! Offer ends 31st July","51.5230542536,-0.0428010875114"
"A great place to get fit. Excellent facilities, great classes and friendly staff.","51.5164237211,0.00982579131734"
Everything you want from a gym...including a lack of people so no waiting!,"51.5315344062,-0.0208397150241"
"Best gym in the Greenwich, more than enough cardio equipment. The weights room can get VERY busy. Although if you like to work out in evenings after 9pm is usually melo. Wknd eve are very quiet.","51.4761810015,-0.0183838780572"
"Came here really afraid because I didn't know anybody. Inspite of loving my former box, in Brazil, I felt extremally welcomed :) besides, all the coaches are awesome!","51.5072468823,-0.0265220143919"
Come. Run. Train. Steam then eat perfect place to be after a busy day,"51.5841932172,0.215846672155"
If you have rolls of fat please don't think that wearing just a sports bra and leggins makes you look slimmer...,"51.4937229971,0.062600924159"
Zumba class on Thursday is the best ever!!!!!!! You become an absolutely new person after it!! FUN & JOY if you like to dance!!!!,"51.458852,0.02581"
"Pool, sauna ,g equipment","51.4373053116,0.227870692651"
Pool is a decent size. Offers swimming lessons and aqua aerobics classes too.,"51.5599508504,0.00428439963725"
Plenty of lockers,"51.4844278453,0.273141477832"
"Clean, Relativity quiet most of the time and lots of equipment.","51.477238064,-0.0169000611523"
Residents only!,"51.4728659417,-0.021289135038"
"Really nice, clean gym and pool. Quite expensive but worth it!","51.4776695176,-0.0231181700514"
"Completely refurbished; with the £5.60 annual membership it's just £3.20 a go for the pool - cheaper than a coffee! Bicycle parking in front, Santander rentals across the street, DLR station next door","51.5111718677,-0.013758091744"
"Small gym with more machines and cardio than free weights. Great tennis, badminton, and table tennis facilities","51.5961981846,0.0899813286546"
Large athletic goods store. You can find cheap items and just about anything you may need for any sport...,"51.4972224303,-0.0468179735799"
Not a bad place,"51.4233589051,0.0877369401275"
Lol not great,"51.4355924516,0.0253573619271"
Body Combat,"51.4636053627,0.125750833943"
Executive lounge is awesome,"51.5007847161,-0.0196856610546"
Great gym with some fantastic classes and personal trainers. Look out for the guy who looks like Wolverine on the weights machines!,"51.4626865817,-0.00989126063066"
Nice place ...,"51.5458510152,0.111580777277"
Management don't know how to label weight area so dumbbells have to go back on a specific spot on the racks. And meatheads are incapable of putting their weights back at all. #FFS #ThisIsADisaster,"51.5564936551,-0.00726184411003"
Much better now they've moved the free weights to another studio.,"51.5609966326,0.148931678767"
Depending on what time you are going it seem to be busy all the time,"51.4663781207,-0.0169967457299"
Why oh why oh why ? The only pounds you are losing are from your pocket ?!,"51.4223223375,0.116034255117"
Very reasonably priced.,"51.5759596298,0.0360232853095"
Best indoor archery club in London. Very friendly atmosphere. I love spending time here!,"51.4763727738,-0.0198194048624"
Coke always flat and the bar staff are ignorant,"51.5326936427,0.132760068558"
"Always book the classes using the online system, less queueing involved","51.5325459207,0.0563012182891"
"Good fitness center, but try not to go on peak times coz it turns out to be packed. There are certain equipment that I miss such a pull-up bar.","51.5194666712,-0.0322132415581"
Atherton LC is closed until refurbishment/building is completed in late 2014/early 2015,"51.5446455713,0.0152633267762"
Courts are fine buts it is expensive and always busy - tennis is not their priority,"51.552929135,-0.0162767282018"
"Nice pool, if you can actually swim in it. On most evenings, Saxon Crown hogs the pool. If you're lucky, a lane or two will be reserved for general swimmers, which are populated by kids.","51.4637944479,-0.0137578564228"
Has specially trained trainers for people with disabilities.  Their sessions are Tuesday afternoon or Friday morning. Lots of free parking too!,"51.5185778994,0.0355486299508"
Look out for The Liberty Legends who play in the Monday night league. Their manager is super HOT.,"51.4949300353,-0.0150520403773"
Good gym. Horrible music,"51.5321701014,-0.0417889808386"
Football time⚽️,"51.4594054493,0.142358943172"
Really now gym good equipment t great teachers well managed and friendly reception!! Yet to try the pool x,"51.4356089447,0.103540773379"
Proper 4G astro turf,"51.478897341,0.0467464610478"
Decent gym. Never to busy,"51.4395376462,0.216261331002"
"Friendly staff and properly equipped. A bit packed at times, but with patience you can finish your exercises.","51.5470896674,-0.00783540616854"
It's nice and affordable :),"51.5065509681,-0.0228714257001"
My place,"51.5371371915,-0.0089625726369"
Good gym cheap monthly membership £30 just gym £45 gym and pool,"51.5401866635,-0.0112510175874"
"The gym is empty after 10pm, when it's the best time to use the weights area!!","51.4993080011,-0.0276421036591"
"Views are incredible and ideal for beginners. Get a beer and take it up to your bay, or wait til afterwards and sit on the patio looking over Canary Wharf.","51.4980990174,0.000242297405489"
"Had a great morning here, one in the under 7's and one in under 14's.  Love the atmosphere at this club","51.4581384211,0.0467562675476"
Very professional class and studio with great amenities. Love it!,"51.5058806641,-0.0175199379676"
"Quite a nice place for bouldering, with loads of different routes. There is no many routes for top ropes.","51.527821522,-0.0398004812429"
"Aim to attend a session that starts 15 mins after the previous one ended, this means the ice was refreshed inbetween resulting in a smoother skate (this doesn't happen between every session).","51.5047907828,-0.0181034148751"
"Stinks like a rundown squat, then a pet shop, then death. Very damp and muddy. Come with a change of clothing.","51.4939796963,0.0353625144095"
They cram too many people onto the course in the mornings and you are forever waiting around for the path ahead to clear.,"51.4136863763,0.15940573845"
Never leave your bike in front of leisure centre! A friend of mine got her bike stolen there:(,"51.4963873035,-0.0219149327701"
Not the largest of bouldering centres but a decent mix of problems,"51.5445835971,-0.0234813988209"
"25 December: At 9am every year since 1864, members have come together for a 100-yard Christmas Day swim known as the 'Peter Pan Cup', in reference to J.M. Barrie, who was a patron of the race.","51.504674508,-0.169331013005"
"Views are incredible and ideal for beginners. Get a beer and take it up to your bay, or wait til afterwards and sit on the patio looking over Canary Wharf.","51.4980990174,0.000242297405489"
Massive!! Everything is double the size of the previous store. TU clothing range is so much complete. There are also ample electric car charging bays!,"51.4888159154,0.0263034083658"
Lovely ales on tonight including Shepherd Neame Whitstable Bay and Brains Rye Catcher,"51.4508937651,0.102943459409"
It’s all about the bay window overhanging the Thames. Bag this seat and you’ll feel like you’re sailing in an old galleon. A grand pub where you come to soak in the history (and river views).,"51.4844798657,-0.0044615324176"
This area used to be called the cages and was home during Notting Hill Carnival to the Rap Attack and Mastermind Soundsystems. Hear old skool hip hop head Pesci break it down http://bit.ly/pFlu1p,"51.5205278437,-0.204501194181"
The food is good but this place is let down by poor front of house. Our food arrived cold. We had to ask for a kids menu. Turtle Bay does a much better job.,"51.5434367617,-0.00858185971508"
"I prefer Gallows as more variety and scan as you shop and more reduced items, but this is closer. I saw the traffic warden today at the disabled bay v near closing time Sunday, beware!","51.5656502375,0.191127343118"
The Bay Tree does a lovely cheap hot chocolate,"51.5591169288,0.0696730613708"
Very polite staff but not the biggest shop... And no motorcycle parking bay :(,"51.4188229006,0.0667259828912"
GBKs are my favorites burger places in London!,"51.5154768545,-0.191551891031"
friendly service good food great London Pried - no children under 18 after 21:00,"51.5126287705,-0.187639559438"
"The service here is exceptional, that makes the food fantastic.  Just a great place to eat, try the Grand Thali with a curry of your choice.","51.5160651942,-0.187746172545"
Don't drink the water!,"51.4949578567,-0.00592231750488"
Its more for water sports,"51.506095676,0.0168061575579"
Paddle hard people,"51.492881938,-0.024755117664"
A cool beach in the middle of Stratford with a mini fun fair. Get there if you can it's going at the end of summer,"51.5415640425,-0.012685865263"
Contains some good trails for Mountain Bike Riders.,"51.5197279878,0.255565965732"
They are finally accepting cards for purchases above £5 in the cafe!,"51.4191720377,0.353887756533"
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.","51.4409815123,-0.0613689422607"
"Tropical jungle nestled inside the love-it-or-hate-it concrete wonder of the Barbican estate. Tropical birds, terrapins, this place is truly one of a kind. Open most Sundays, check the website first.","51.5198586222,-0.093201833945"
Great vegetarian cafe with historic hidden garden within a church steeped in history: six 'and a bit' Archbishops of Canterbury buried here. Justifiably included in our Gems of London iPhone app,"51.4949167055,-0.120084088527"
Beautiful!,"51.4815397997,-0.290458979262"
If you are in Kew Gardens then you are not in the Herbarium. This is a separate building and is not open to the public.,"51.4820806709,-0.291110619492"
Make sure you climb the spiral staircase. The palms look a lot more amazing from above!,"51.4790156434,-0.292729372615"
"Kew Gardens is a magnificent World Heritage Site covering 300 acres with over 30,000 species of plants.","51.4777479688,-0.296630859375"
Can watch planes flying in and out of London City airport,"51.5069179418,0.025775506105"
Take a wheeled bag and pull it behind you on a perforated metal surface of the bridge. Works best if dressed as a business traveller and staying in a Hilton nearby.,"51.5020643932,-0.0202560424805"
At night when the bridge is illuminated is very romantic!,"51.5069186403,-0.0227283883736"
"Have a walk on the only-pedestrian bridge, it's amazing!","51.5260104921,-0.0384314863935"
"if you want to visit Greenwich Park, I suggest you to take ferry from Westminster Bridge to Greenwich, its around £13 ticket. 50% discount ONLY applies MONDAY to FRIDAY for ONLINE BOOKINGS. ;)","51.4779083393,-0.000386238098145"
"1 September: Sit in an alcove of old London Bridge. Two of the 1760 alcoves from London Bridge were relocated to the eastern fringes of the park in 1860, where they now act as simple park seats.","51.5368063414,-0.0371217727661"
"In the 1960s, London Transport ran a cycle bus through the tunnel, i.e. a bus that carried cyclists and their bikes, but it was dropped in 1965 due to lack of demand.","51.4646858994,0.258854627609"
Morning Runs,"51.4266127971,0.130668907859"
Sir Robert Miles' assassin speeds through the Glengall Bridge as it's closing in The World Is Not Enough (1999) forcing James Bond to activate the submersible mode on his Q-branch boat in pursuit.,"51.49696755,-0.0156166698439"
"Amazing with a little pond/stream, bridge nice bike ride through the woods, open greenery/space/field with a lovely big river and a nice swing park for the kids further down :)","51.425792343,0.130666541777"
The station is usually clean with waiting area and loos. Beware the wet walls and slippery floor on the walk to the platform!,"51.5586645158,0.235827900611"
Massive bridge!!!!,"51.4530201935,0.241757705437"
That's a nice spot to photograph the buildings in canary wharf...,"51.5009668817,-0.0089226774777"
Nice views at night.,"51.5065922285,-0.0225520133972"
See how it shakes when the 188 goes past!,"51.481466989,-0.0168587944186"
"1 July: Walk over the Mile End Green Bridge, created by architect Piers Gough following a £12.3 million grant from the Millennium Commission. Each day 75,000 cars pass beneath it.","51.524912678,-0.0354695320129"
Inconveniently located,"51.5098838852,-0.0368150944961"
Very boring but can take you down to the Surry Dock's Canal!!,"51.493744744,-0.044294604361"
The lifts never seem to be working but there is an amazing view from the bridge over the O2 and Canary Wharf. The Shard is even visible.,"51.5077455546,0.0193211465774"
"Easy access to London Charing Cross, London Bridge, Canon Bridge","51.4264479312,0.0999021864236"
"The climbing walls, the laser tag areas and the high wire sections are excellent.","51.5389684918,0.267405509949"
loads of trees around the site. 😍 one of my favorite caravan sites. 😂🙌,"51.4855016317,0.12001435402"
"A pleasant place to idle away a summers day. Be careful of locals though, they often push cyclists in canal as part of class war","51.5357385749,-0.0637292861938"
There's a guy in the flats who likes to pose in his pants on his balcony. He's quite fit if you like that sort of thing!,"51.5200189158,-0.0360953721443"
Artist Natsko Seki takes us through the canals with her Louis Vuitton Travel Book.  See how the city inspires her at  http://vuitton.lv/fTravelBooks,"51.5411305395,-0.139635801315"
"Watch out for dreadful self entitled middle class hipsters who acts like they own the towpath. Will urinate everywhere, pissing off locals who has lived here for years.","51.5340300964,-0.0587940216064"
"A lovely place for a weekend pint by the Lea Navigation Canal, which runs from Lea Bridge Road to Bow Lock.","51.5619808945,-0.0457170132486"
Alquila unas bicis y recórrelo entero. Canal con encanto y tranquilo,"51.5329437267,-0.0996342992072"
Watch out for the cyclists :-),"51.5344212123,-0.0936015197969"
Really lovely to walk around and be by the water. Cute cafes and atmosphere.  Can be a little scary to walk around at night - it's not well lit up with street lights.,"51.536966343,-0.0813753191463"
Lovely spot for a coffee along the canal.,"51.5327985642,-0.0988648202506"
Boat going through Camden Lock just now ... the canal is waking back up after a long winter. Sweet!! Ed,"51.5403055087,-0.145808467278"
"The London Canal Museum is housed in a former nineteenth-century ice warehouse used by Carlo Gatti for his famous ice cream, and it includes an exhibit on the history of the ice trade and ice cream.","51.5342416058,-0.119981996775"
Old Ford Lock can be found at the intersection of the road and the canal: go check it out!,"51.5351667233,-0.0337398688164"
key cutters,"51.5281834115,-0.0202131271362"
Superb summer hangout place.,"51.5349640303,-0.124846205742"
This place is at the roof top in Camden Lock and overlooks the beautiful canal! Pints and cocktails are reasonably priced.,"51.5409981883,-0.146420389593"
"Shoe repairs, engraving and key duplicating. Mo-Fr 8:30-18:00, Sat 8:30-17:00","51.4928996,-0.0469337"
Relax under the sun!,"51.5182770398,-0.177283287048"
"Just re-opened.great refurbishment, fresh croissant almond or plain perfect start to breakfast, then off to camden lock, via the grand union canal to Hi sushi for great ramen! Over looking the lock.","51.5429190321,-0.103168636605"
Cracking urban canal... Greenary and graffiti,"51.5390085307,-0.0274658203125"
"An informal cafe & performance space where the world's longest running live comedy show is hosted - The News Review Show every Thurs, Fri, Sat & Sun (new every week). Witty & satirical.","51.5210592071,-0.184096121861"
sit outside and have the eaton mess,"51.5348047629,-0.117177329092"
"Hard as rock lemon poppy seeds muffin, extra-boiling 'flat white', rude guy at the till. Lovely girl w/hair band replaced my coffee, at least she tried to help.","51.5413869239,-0.144801472109"
The path along the canal is very nice,"51.5368063414,-0.0371217727661"
"Watch out for dreadful self entitled middle class hipsters who acts like they own the towpath. Will urinate everywhere, pissing off locals who has lived here for years.","51.5340300964,-0.0587940216064"
Really lovely to walk around and be by the water. Cute cafes and atmosphere.  Can be a little scary to walk around at night - it's not well lit up with street lights.,"51.536966343,-0.0813753191463"
Alquila unas bicis y recórrelo entero. Canal con encanto y tranquilo,"51.5329437267,-0.0996342992072"
Gardens and canal look stunning on a sunny day,"51.5402956882,-0.0129375568671"
Superb summer hangout place.,"51.5349640303,-0.124846205742"
Artist Natsko Seki takes us through the canals with her Louis Vuitton Travel Book.  See how the city inspires her at  http://vuitton.lv/fTravelBooks,"51.5411305395,-0.139635801315"
"Walks, wildlife, canals and industrial history. A peaceful and beautifully unique part of London","51.5541179262,-0.0328419795882"
Relax under the sun!,"51.5182770398,-0.177283287048"
Cracking urban canal... Greenary and graffiti,"51.5390085307,-0.0274658203125"
"Great for a walk, run, or cycle ride - you can go from the Thames at Limehouse all the way to Paddington.","51.5337851323,-0.0493642239079"
"Wow I love this. Saw coots, starlings, eiderducks, swans, seagulls and even a kingfisher. Really interesting canal walk among industrial architecture and of course Three Mills Studios -- so cute.","51.5496781162,-0.00895873516893"
Beautiful place with nice canals,"51.4928168107,-0.0157266729209"
Very beautiful canal!!!,"51.527301313,-0.213595132974"
Start your walk along the tow paths of the canals here.,"51.5115335952,-0.038764199911"
Very boring but can take you down to the Surry Dock's Canal!!,"51.493744744,-0.044294604361"
Chill out :),"51.5263269404,-0.207068732336"
This bridge was made from funding from both Westminster Council and Kensington & Chelsea Council. Slopes are a little step though. (Steps now removed).,"51.5268455741,-0.210943675471"
14 October: Severndroog Castle is a folly which was built in 1784 as a memorial to William James of the East India Co. to commemorate the conquest of the castle off the coast of Malabar in the 1760s.,"51.4666953348,0.0600647073752"
"The best place to visit if you want to learn more about London’s history. And of course it houses the Crown Jewels, the most famous jewellery collection in the world","51.5082750261,-0.0763249397278"
"The Bishop of Durham was the first recorded prisoner at the Tower, the tallest building in 1098. He escaped using a rope smuggled in a pot of wine and fled to Normandy.","51.5080764471,-0.0760489212341"
Admire the best view of Medway from the top.,"51.3893783666,0.501433610916"
The water maze is amazing,"51.1862166326,0.113116468466"
Beast people with personal training here,"51.3869510229,0.526236674261"
The Japanese collection is surprisingly good for a remote location like this. Lovely café.,"51.1859561138,0.142586573694"
"Great place to walk around in the grounds, so close to the town but so quite and peaceful. Good for photographing some wildlife,","51.1965798381,0.273606295108"
"Definitely worth a visit. Not expensive, always quiet and mostly child-friendly apart from the odd steep staircase.","51.4061298726,0.526437280204"
Would be ok if my children was brave enough to go in it. They were very kind and gave us our money back. Thank you,"51.4071116142,0.057559393884"
"Sort of secret garden in East Greenwich (away from the tourist centre) In the centre is a small, not at all ghoulish, naval cemetery. In the summer they have a farmers market on Saturdays","51.4847917025,0.0138277900915"
"awesome cemetery, well worth a visit!","51.5634988134,-0.0762677268357"
Archaeological excavations at Broad Street Place recorded at least 10 Roman burials forming part of a wider cemetery to the north of the city wall.,"51.5188493922,-0.0835463019855"
Expressive of the history of Southwark as a burial place for prostitutes and paupers who would have not be welcomed in other cemeteries,"51.5040240915,-0.0934348013311"
Friendly little pub near Bunhill Cemetery. Good beer and good service.,"51.5233767752,-0.0899946715414"
Pretty cemetery - nice spot for an al fresco lunch - there are plenty of benches,"51.5234841615,-0.0885343551636"
"Lots of benches, picnic tables and flowering plants. All your needs from children's playground to cemetery. Gotta love London.","51.5307414439,-0.169391531306"
A number of archaeological excavations around Finsbury Circus have recorded burials of a Roman cemetery to the north of the city walls.,"51.5178631149,-0.0864744186401"
The small version of the main restaurant across the road and towards the cemetery. Both great for food.,"51.5622179565,-0.0782247700849"
"The world’s first gardening museum is within the ex-church of St.Mary-at-Lambeth. The cemetery contains the graves of 17th century royal gardeners, and also Capt Bligh, of Bounty fame.","51.4949167055,-0.120084088527"
"Built more or less on the site of a 17th century common cemetery between Poland Street and Marshall Street, where thousands of bodies were buried during the great plague.","51.513533299,-0.138091902392"
Nearby is my beloved secret place - a tiny green space that was once a cemetery. There are still some tombstones left by the wall.,"51.5045353916,-0.0605750083923"
"Turn right when you exit. Head down the 2nd road on your right (Southern Grove) and pay a visit to a very cool place...Tower Hamlets Cemetery Park. It will blow you away, a gem in the Borough.","51.5253068793,-0.0334587794533"
"London Necropolis and National Mausoleum Company welcome you to the service to Brookwood, the largest cemetery in the Empire.","51.5030751669,-0.11287985795"
This is where we often host our exclusive purehmv screenings and actor & director Q&A's! One of our favourites was our Cemetery Junction screening with Ricky Gervais & Stephen Merchant!,"51.5141025304,-0.13366167437"
"Visit the cemetery take a right out of the station, take the bus for Ealing broadway shopping!","51.5010057169,-0.307227353699"
Bet on  win one,"51.5721535557,0.166845909907"
Great place to go for a run or to walk the dog.,"51.5583965425,0.0282382965088"
"Huge park, to run, to have a bite, and spend time with friends, family and your dog !! Plus the royal observatory and maritime museum are within the park.","51.4779083393,-0.000386238098145"
Great place to take the dogs for a walk. A nice little stream runs through the place.,"51.425792343,0.130666541777"
"Nice playground, but not particularly toddler-friendly - six years and above","51.4957687586,-0.0274842592788"
Can on occasions contain horrible kids!,"51.5148182711,0.198370157603"
Nice place for a run but watch out for unleashed dogs (and the piles they leave!),"51.4877382339,0.161339721363"
Great farm!,"51.4916677107,-0.00947049910378"
Real Farm in the City!  Great breakfast,"51.5170091554,-0.0429949626194"
Check out the cafe (Frizzante) inside the farm - free wifi and good food.,"51.4995835635,-0.0330964434428"
Amazing! In the middle of the farm! Perfect for breakfast! Amazing food :),"51.4995293297,-0.033135489091"
"Keep an eye out for the veg that's grown on site, it's fabulously fresh!","51.4326464212,0.139718325398"
Must have coffee after/before visiting the farm.,"51.4916680737,-0.00947843662448"
The milk they use is really good - believe it comes from a small farm in Bristol. Leads to good milk based espresso drinks: won't go wrong with latte/flat white/cappuccino. Nice ambience,"51.5060436656,-0.0185605856024"
"Take the foot tunnel to Island Garden and visit the Mudchute farm to catch a glimpse of sheeps, pigs and Lamas!","51.4813292233,-0.0055809605092"
"Ok it's a farm so there's gonna be loads of flies, but the cafe is filthy so they mostly hang out there.","51.7118611151,-0.00117678786094"
Big soft play area. Farm shop and café.,"51.431484271,0.140000581741"
This area gets its name because it’s where all the mud was dumped when the Millwall Docks were dredged in the 1860s. It’s now home to the largest urban farm in Britain.,"51.4912238094,-0.0149613618851"
Rent a boat! 12£ for a hour.  +8£ deposit.,"51.5786775047,0.00847663809049"
The field maple tree (on the northeast side of the clump of trees at the north end of the south pond) is one of the Great Trees of London.,"51.5685176124,0.0692895626374"
"Several kinds of sports grounds including tennis courts, cricket and football fields, lots of flowers.","51.5381785467,0.0175739998077"
oh the days of a little wee boy come rushing back playing on these fields going to those fun fairs enjoying ones self as kids do..Great place all round really,"51.5583965425,0.0282382965088"
Ropemakers Fields circa 1900,"51.5098057818,-0.0329359103555"
"Huge fields tucked away in SE London. Loads of animals, lots to see and do - well worth a visit. Cafe isn't any great shakes but big picnic area with highchairs & changing facilities.","51.4916677107,-0.00947049910378"
Not a great venue for a large gig. The main stage area is essentially a concrete/gravel parking lot. The park itself is beautiful with grassy fields running along the canal.,"51.5402956882,-0.0129375568671"
Portena @ field day amazing,"51.5368063414,-0.0371217727661"
"Sunny days and football on multiple fields, astro turf and grass...hard to beat!","51.5492132487,-0.0342215758549"
Follow the green chain walk along railway line and you will find a field of donkeys!,"51.4406872613,0.0528717041016"
Fulham Football Club used the pitches in Barn Elms as their 'home' ground back in 1888 before moving to Fulham and Roskell's Fields which were located next to Parsons Green tube station in 1889.,"51.4753627328,-0.232480148009"
Washed out pink and yellow baits are working well.,"51.6467586853,0.482583045959"
The cafe is beautiful with floor to ceiling windows while you gaze out through the trees. It's like a camp in a forest.,"51.5288078971,0.0529008338649"
Best pub in Forest Gate!,"51.5497863037,0.0245869036288"
Trying out their very festive Black Forest Hot Chocolate and Chocolate and Orange tart! :-) Try it too!,"51.5166610979,0.0820395234519"
The best 'Black Forest' I have ever tried,"51.4820942646,-0.0089331492536"
The sun deck is a great place to stop off for good coffee on a bike ride between Central/East London and wonderful Epping Forest,"51.567846835,0.0105510487394"
Don't take AS here!,"51.5856713913,0.00932769058429"
forest and birds as background lounge sound ?? nice for 10 mim and really annoying after 30mim :-/,"51.5038830885,0.04960924611"
Jimi Hendrix wrote Purple Haze in Forest Gate.,"51.5493171401,0.0234401839727"
"Has a lively clientèle, and once a month, the Forest Roots music collective play on a Saturday night. you can be on Oxford street in 25 minutes if the trains are all running smoothly","51.553347,0.033761"
part of Forest School but has a great pool that is open to kids for lessons,"51.5827621078,0.00632538531489"
Its free to forest gate LOL,"51.5462378872,0.00627049660428"
Great water fountains,"51.5005416573,0.0348472595215"
A great modern park away from the hustle-bustle of busy London. The water fountains and climbing wall make a great addition.,"51.5402956882,-0.0129375568671"
Cool fountain and hang out area,"51.5053167965,-0.0228526134691"
"Great park for running, there are water fountains dotted around the paths and lots of other friendly joggers.","51.5368063414,-0.0371217727661"
Beautiful a place you can enjoy along with the sun,"51.5081180018,-0.127860495932"
God bless you Lady Di <3,"51.5049841757,-0.171357186113"
Beautiful landscaping 😍,"51.5410506377,-0.0106265268415"
Gorgeous fountains inside a gorgeous garden!,"51.5106849194,-0.175705419027"
Nice place to sit near it and watch the crowdy and busy London.,"51.5080559833,-0.128106156651"
Great meeting point in Piccadilly,"51.5099043423,-0.134453773499"
Wait for it to steam up it's pretty. :-),"51.5101075651,-0.149198887993"
Water your dog for free here. H2O also available for human visitors.,"51.5328420314,-0.150577335003"
Massive fountain!!!!,"51.5085154206,-0.155879259109"
A lot better at night when all the fountains are lit up with multi colour lighting,"51.5124986041,-0.160868680127"
Fountains are cool. Lots of screaming kids when the weather is nice. Little man statue is creepy.,"51.5185620384,-0.172344700713"
Sit by the fountain and get in good conversation with the local Winos.,"51.5542491789,-0.165451992786"
Amazing Art Deco interiors and lovely peaceful gardens - great for our picnic-but there was nothing in the rose garden. A very minor complaint after a wonderful visit. Look out for the lemur ladder!,"51.4472272129,0.0485587120056"
"Visit Hall Place - ""Hall Place is a fine Grade I listed country house [...] Surrounding the house are award winning formal gardens""","51.4480279607,0.16076789448"
Great place to relax and leave the London crowd momentarily,"51.5059646828,-0.0168222667619"
"Visit Danson Park - ""Danson Park is designated Grade II on the English Heritage register of parks and gardens of special historical interest.""","51.4547824325,0.116128921509"
Great view across the sunken garden to the Thames Barrier,"51.5005416573,0.0348472595215"
Visit the Rose Garden in July!,"51.4779083393,-0.000386238098145"
"A beautiful Park, where you can have a walk, relaxing. I really love to sit under a tree and watch the squirrels.","51.4759833247,0.00527085373447"
"Glorious in the sunshine, why not grab lunch to go in Greenwich and then stop off here to eat :)","51.4830068707,-0.00836207204939"
Very nice garden!!! Beautiful view of the city,"51.4779278349,-0.00154155591186"
Check out roses garden in the summer,"51.5381785467,0.0175739998077"
"28 July: Dating back to the 13th century, this is a formal garden containing flowers, ponds, woodland and a Tudor Barn, now a restaurant. They were once part of Well Hall House, home of E. Nesbit.","51.4562355999,0.0508457245652"
De errrrb garden recently opened.,"51.4795386822,-0.0062325768929"
Jubilee park is actually a roof garden on top of canary wharf tube station,"51.503488278,-0.0186347355523"
Help preserve this beautiful park and join Friends of Island Gardens http://www.facebook.com/friendsofislandgardens,"51.4868959881,-0.00892385794983"
"Sort of secret garden in East Greenwich (away from the tourist centre) In the centre is a small, not at all ghoulish, naval cemetery. In the summer they have a farmers market on Saturdays","51.4847917025,0.0138277900915"
There's swings!,"51.5272587907,-0.0431492151088"
Gardens and canal look stunning on a sunny day,"51.5402956882,-0.0129375568671"
Beautiful garden,"51.5055527795,-0.0266234135169"
Excellent little garden centre with great plants and lovely helpful enthusiastic staff.,"51.5392319446,-0.0273881248556"
"Nice playground, but not particularly toddler-friendly - six years and above","51.4957687586,-0.0274842592788"
"Bring seeds, not bread to feed the ducks! Bread is really bad for their digestion :)","51.5654935784,0.217357877423"
"With a capacity of up to 20k it is the joint largest indoor arena in Europe. Ticket Sales for all events even exceed those of Madison Square Garden, New York!","51.5029737935,0.00409617445395"
"Just great. A tiny family run cafe with a very simple coffee,cafe, panini offer. In good weather the small garden at the back is a must.","51.4760742814,-0.00988413274267"
"Lovely gardens, recalls the White House","51.4779432265,-0.00164451601912"
One of my favourite places in London. The gardens are lovely and the visits to the main buildings are a must-do from time to time.,"51.4771332098,-0.00075101852417"
Excellent coffee and a beautiful garden in the back!,"51.5380170787,-0.044778888599"
"Proper coffee just off bow road. Lovely place with local art. Good coffee and AMAZING homemade sausage roll. If its nice weather, get take away cups and go to the memorial garden opposite.","51.5290326145,-0.0178915234045"
"Home to dartford cricket and bowls clubs. Also has 2 tennis courts, a secluded garden, large children's play area and plenty of grass for ball games, picnics and dog walking.","51.4400303448,0.234154508598"
This place is pretty special: a Mongolian tent with a wild garden where portions or marble cake bigger than your face are served.,"51.5121120546,-0.0408035365334"
St Katherine's is one of my favorite residential venues in London. A walled garden community that is an island of sanity in an urban environment.,"51.5115800848,-0.0416589715929"
"What an amazing place! Very spacious, brillant DJs and a great beer garden overlooking the canal. Beer selection a bit dissapointing though!","51.5444643124,-0.022689552902"
"coffee, Italian music, great big sunny window to sit, little secret garden","51.4794509326,-0.00812187876657"
So quiet it feels like your private garden.,"51.5292240041,-0.0200176917782"
Sit in the garden. It's a nice sunny courtyard,"51.4811498811,-0.0098080384837"
Has a relaxed beer garden overlooking the river where you sit between garden patches.,"51.5437142535,-0.0220704903328"
Great backyard garden and vegetable soup,"51.4755867365,-0.0375091755177"
"A cute little space with a garden at the rear, but gets crowded very quickly. Pop over to London Particular if you can't squeeze in","51.4756038855,-0.0374215978139"
Useful for the home essentials without the hassle of getting anywhere more central. Good garden centre.,"51.4637784932,0.0289905044679"
"Lots of light from the amazing windows, still waiting for the garden and the kitchen but the signs are positive so far","51.464754003,0.00954591622845"
